TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
AI_114,AI Tools 133,ai,Prompting,Text Entry & State,ai/AI_114 - Text Entry State.yaml,com.hp.impulse.sprocket
AI_115,AI Tools 134,ai,Generation,Processing,ai/AI_115 - Processing.yaml,com.hp.impulse.sprocket
AI_116,AI Tools 135,ai,Result,Thumbnail Selection,ai/AI_116 - Thumbnail Selection.yaml,com.hp.impulse.sprocket
AI_117,AI Tools 136,ai,Saving,Apply & Print Preview,ai/AI_117 - Apply Print Preview.yaml,com.hp.impulse.sprocket
AI_118,AI Tools 137,ai,AI Tool List,Verify scroll & UI layout,ai/AI_118 - Verify scroll UI layout.yaml,com.hp.impulse.sprocket
AI_119,AI Tools 138,ai,AI Tool List,Verify Back Navigation,ai/AI_119 - Verify Back Navigation.yaml,com.hp.impulse.sprocket
AI_120,AI Tool 139,ai,AI Tool List,Verify Tool Navigation,ai/AI_120 - Verify Tool Navigation.yaml,com.hp.impulse.sprocket
AI_121,AI Tool 140,ai,AI Tool List,Verify Image Selection Flow,ai/AI_121 - Verify Image Selection Flow.yaml,com.hp.impulse.sprocket
AI_122,AI Tool 141,ai,AI Tool List,Verify Temporary Updates,ai/AI_122 - Verify Temporary Updates.yaml,com.hp.impulse.sprocket
AI_123,AI Tool 142,ai,AI Tool List,Verify Offline Behavior,ai/AI_123 - Verify Offline Behavior.yaml,com.hp.impulse.sprocket
AI_124,AI tools 143,ai,Navigation,Verify Header Elements,ai/AI_124 - Verify Header Elements.yaml,com.hp.impulse.sprocket
AI_125,AI tools 144,ai,Folder Nav,Verify Folder Dropdown,ai/AI_125 - Verify Folder Dropdown.yaml,com.hp.impulse.sprocket
AI_126,AI tools 145,ai,Gallery,Verify Date-based Grouping,ai/AI_126 - Verify Date-based Grouping.yaml,com.hp.impulse.sprocket
AI_127,AI tools 146,ai,Instructional,Verify Sticky Footer,ai/AI_127 - Verify Sticky Footer.yaml,com.hp.impulse.sprocket
AI_128,AI tools 147,ai,Workflow,Verify Group 1 Redirection,ai/AI_128 - Verify Group 1 Redirection.yaml,com.hp.impulse.sprocket
AI_129,AI tools 148,ai,Workflow,Verify Group 2 Redirection,ai/AI_129 - Verify Group 2 Redirection.yaml,com.hp.impulse.sprocket
AI_130,AI tools 149,ai,Navigation,Verify Back Button Logic,ai/AI_130 - Verify Back Button Logic.yaml,com.hp.impulse.sprocket
AI_131,AI tools 150,ai,Workflow,Verify Group 1 (Ready to Generate) Redirection,ai/AI_131 - Verify Group 1 Ready to Generate Redirection.yaml,com.hp.impulse.sprocket
AI_132,AI Tools 151,ai,Preview Ready,Verify dynamic header tool name display,ai/AI_132 - Verify dynamic header tool name display.yaml,com.hp.impulse.sprocket
AI_133,AI Tools 152,ai,Preview Ready,Verify back navigation from preview,ai/AI_133 - Verify back navigation from preview.yaml,com.hp.impulse.sprocket
AI_134,AI Tools 153,ai,Preview Ready,Verify Generate button triggers loader,ai/AI_134 - Verify Generate button triggers loader.yaml,com.hp.impulse.sprocket
AI_135,AI Tools 154,ai,Preview Ready,Verify Remove Background routing,ai/AI_135 - Verify Remove Background routing.yaml,com.hp.impulse.sprocket
AI_136,AI Tools 155,ai,Preview Ready,Verify Replace Background routing,ai/AI_136 - Verify Replace Background routing.yaml,com.hp.impulse.sprocket
AI_137,AI Tools 156,ai,Preview Ready,Verify Restore Photo routing,ai/AI_137 - Verify Restore Photo routing.yaml,com.hp.impulse.sprocket
AI_138,AI Tools 157,ai,Preview Ready,Verify Enhance Photo routing,ai/AI_138 - Verify Enhance Photo routing.yaml,com.hp.impulse.sprocket
AI_139,AI Tools 158,ai,Preview Ready,Verify Fix Lighting routing,ai/AI_139 - Verify Fix Lighting routing.yaml,com.hp.impulse.sprocket
AI_140,AI Tools 159,ai,Preview Ready,Verify Upscale Photo routing,ai/AI_140 - Verify Upscale Photo routing.yaml,com.hp.impulse.sprocket
AI_141,AI Tools 160,ai,Preview Ready,Verify full UI layout,ai/AI_141 - Verify full UI layout.yaml,com.hp.impulse.sprocket
AI_142,AI Tools 161,ai,Preview Next Step,Verify header displays selected tool name,ai/AI_142 - Verify header displays selected tool name.yaml,com.hp.impulse.sprocket
AI_143,AI Tools 162,ai,Preview Next Step,Verify primary CTA button label,ai/AI_143 - Verify primary CTA button label.yaml,com.hp.impulse.sprocket
AI_144,AI tools 163,ai,Preview Next Step,Verify Remove Object routing,ai/AI_144 - Verify Remove Object routing.yaml,com.hp.impulse.sprocket
AI_145,AI Tools 164,ai,Preview Next Step,Verify Replace Object routing,ai/AI_145 - Verify Replace Object routing.yaml,com.hp.impulse.sprocket
AI_146,AI tools 165,ai,Preview Next Step,Verify Grab Object routing,ai/AI_146 - Verify Grab Object routing.yaml,com.hp.impulse.sprocket
AI_147,AI tools 166,ai,Preview Next Step,Verify Extend Image routing,ai/AI_147 - Verify Extend Image routing.yaml,com.hp.impulse.sprocket
AI_148,AI  Tools 167,ai,Preview Next Step,Verify Generate Object routing,ai/AI_148 - Verify Generate Object routing.yaml,com.hp.impulse.sprocket
AI_149,AI Tools 168,ai,Preview Next Step,Verify Back Arrow navigation,ai/AI_149 - Verify Back Arrow navigation.yaml,com.hp.impulse.sprocket
AI_150,AI Tools 169,ai,Select Video Frame,Verify routing to Ready-to-Generate workflow,ai/AI_150 - Verify routing to Ready-to-Generate workflow.yaml,com.hp.impulse.sprocket
AI_151,AI Tools 170,ai,Select Video Frame,Verify routing to Next Step workflow,ai/AI_151 - Verify routing to Next Step workflow.yaml,com.hp.impulse.sprocket
AI_152,AI Gtools 171,ai,Landscape Photo Fit,Verify automatic rotation of landscape image,ai/AI_152 - Verify automatic rotation of landscape image.yaml,com.hp.impulse.sprocket
AI_153,AI tools 172,ai,Landscape Photo Fit,Verify proper fitting without cropping,ai/AI_153 - Verify proper fitting without cropping.yaml,com.hp.impulse.sprocket
AI_154,AI tools 173,ai,Landscape Photo Fit,Verify dynamic tool name in header,ai/AI_154 - Verify dynamic tool name in header.yaml,com.hp.impulse.sprocket
AI_155,AI tools 174,ai,Landscape Photo Fit,Verify Generate button execution,ai/AI_155 - Verify Generate button execution.yaml,com.hp.impulse.sprocket
AI_156,AI Toola 175,ai,Landscape Photo Fit,Verify back navigation to gallery,ai/AI_156 - Verify back navigation to gallery.yaml,com.hp.impulse.sprocket
AI_157,AI Toola 176,ai,Text-to-Image,Verify Text-to-Image screen UI and default values,ai/AI_157 - Verify Text-to-Image screen UI and default values.yaml,com.hp.impulse.sprocket
AI_158,AI tools 177,ai,Text-to-Image,Verify prompt text box placeholder,ai/AI_158 - Verify prompt text box placeholder.yaml,com.hp.impulse.sprocket
AI_159,AI tools 178,ai,Text-to-Image,Verify prompt text box focus and keyboard,ai/AI_159 - Verify prompt text box focus and keyboard.yaml,com.hp.impulse.sprocket
AI_160,AI tools 179,ai,Text-to-Image,Verify random prompt button,ai/AI_160 - Verify random prompt button.yaml,com.hp.impulse.sprocket
AI_161,AI Tools 180,ai,Text-to-Image,Verify random prompt when text box is focused,ai/AI_161 - Verify random prompt when text box is focused.yaml,com.hp.impulse.sprocket
AI_162,AI Tools 181,ai,Text-to-Image,Verify Orientation selection,ai/AI_162 - Verify Orientation selection.yaml,com.hp.impulse.sprocket
AI_163,AI Tools 182,ai,Text-to-Image,Verify Image Quantity selection,ai/AI_163 - Verify Image Quantity selection.yaml,com.hp.impulse.sprocket
AI_164,AI Tools 183,ai,Text-to-Image,Verify Generate Image(s) button disabled state,ai/AI_164 - Verify Generate Images button disabled state.yaml,com.hp.impulse.sprocket
AI_165,AI TOOls 184,ai,Text-to-Image,Verify Generate Image(s) button enabled state,ai/AI_165 - Verify Generate Images button enabled state.yaml,com.hp.impulse.sprocket
AI_166,AI Tools 185,ai,Text-to-Image,Verify image generation with Portrait mode,ai/AI_166 - Verify image generation with Portrait mode.yaml,com.hp.impulse.sprocket
AI_167,AI Tools 186,ai,Text-to-Image,Verify image generation with Landscape mode,ai/AI_167 - Verify image generation with Landscape mode.yaml,com.hp.impulse.sprocket
AI_168,AI Tools 187,ai,Text-to-Image,Verify generation with different image quantities,ai/AI_168 - Verify generation with different image quantities.yaml,com.hp.impulse.sprocket
AI_169,AI Tools 188,ai,Text-to-Image,Verify empty/space-only prompt,ai/AI_169 - Verify emptyspace-only prompt.yaml,com.hp.impulse.sprocket
AI_170,AI Tools 189,ai,Text-to-Image,Verify long prompt input,ai/AI_170 - Verify long prompt input.yaml,com.hp.impulse.sprocket
AI_171,AI Tools 190,ai,Text-to-Image,Verify special characters in prompt,ai/AI_171 - Verify special characters in prompt.yaml,com.hp.impulse.sprocket
AI_172,AI Tools 191,ai,Text-to-Image,Verify network error while generating images,ai/AI_172 - Verify network error while generating images.yaml,com.hp.impulse.sprocket
AI_173,AI Tools 192,ai,Text-to-Image,Verify Back button navigation,ai/AI_173 - Verify Back button navigation.yaml,com.hp.impulse.sprocket
AI_174,AI Tools 193,ai,AI Tools,Verify Text-to-Image generation flow,ai/AI_174 - Verify Text-to-Image generation flow.yaml,com.hp.impulse.sprocket
AI_175,AI TOOls 194,ai,AI Tools,Verify Portrait image generation,ai/AI_175 - Verify Portrait image generation.yaml,com.hp.impulse.sprocket
AI_176,AI TOOls 195,ai,AI Tools,Verify Landscape image generation,ai/AI_176 - Verify Landscape image generation.yaml,com.hp.impulse.sprocket
AI_177,AI Tools 196,ai,AI Tools,Verify thumbnail selection,ai/AI_177 - Verify thumbnail selection.yaml,com.hp.impulse.sprocket
AI_178,AI Tools 197,ai,AI Tools,Verify Cancel button and Unsaved popup,ai/AI_178 - Verify Cancel button and Unsaved popup.yaml,com.hp.impulse.sprocket
AI_179,AI tools 198,ai,AI Tools,Verify Unsaved popup - Cancel option,ai/AI_179 - Verify Unsaved popup - Cancel option.yaml,com.hp.impulse.sprocket
AI_180,AI Tools 199,ai,AI Tools,Verify Unsaved popup - Leave option,ai/AI_180 - Verify Unsaved popup - Leave option.yaml,com.hp.impulse.sprocket
AI_181,AI Tools 200,ai,Print Preview,Verify Next button navigation,ai/AI_181 - Verify Next button navigation.yaml,com.hp.impulse.sprocket
AI_182,AI Tools 201,ai,Print Preview,Verify Print Preview UI,ai/AI_182 - Verify Print Preview UI.yaml,com.hp.impulse.sprocket
AI_183,AI Tools 202,ai,Print Preview,Verify Back Arrow,ai/AI_183 - Verify Back Arrow.yaml,com.hp.impulse.sprocket
AI_184,AI Tools 203,ai,Print Preview,Verify Share button,ai/AI_184 - Verify Share button.yaml,com.hp.impulse.sprocket
AI_185,AI Tools 204,ai,Print Preview,Verify Edit icon,ai/AI_185 - Verify Edit icon.yaml,com.hp.impulse.sprocket
AI_186,AI Tools 205,ai,Print Preview,Verify Copies option,ai/AI_186 - Verify Copies option.yaml,com.hp.impulse.sprocket
AI_187,AI Tools 206,ai,Print Preview,Verify Tiles option,ai/AI_187 - Verify Tiles option.yaml,com.hp.impulse.sprocket
AI_188,AI Tools 207,ai,AI Tools,Verify Generate Image(s) with empty prompt,ai/AI_188 - Verify Generate Images with empty prompt.yaml,com.hp.impulse.sprocket
AI_189,AI Tools 208,ai,AI Tools,Verify image generation without internet,ai/AI_189 - Verify image generation without internet.yaml,com.hp.impulse.sprocket
AI_190,AI Tools 209,ai,Navigation,Verify user can access Image-to-Image screen,ai/AI_190 - Verify user can access Image-to-Image screen.yaml,com.hp.impulse.sprocket
AI_191,AI Tools 210,ai,Crop Photo,Verify Crop Photo functionality,ai/AI_191 - Verify Crop Photo functionality.yaml,com.hp.impulse.sprocket
